sku,name,category,price_gbp,unit,notes
WL4-KIT-EXT-5PK,WL4 Pipe Extension Fix Kit (5 pack),Accessories,90,5pk,
RTU-Rj45x8-HUB,8-port RJ45 Cable Landing Board/Hub,Cabling/Networking,285,pc,
RTU-Rj45-NODE-10PK,Cat5/6 to Screw Terminal Node (10 pack),Cabling/Networking,235,10pk,
RTU-RJ45x2-NODE-10PK,Daisy-Chain Cat5/6 to Screw Terminal Node (10 pack),Cabling/Networking,370,10pk,
DC01-CAB,DIN Rail Metal Cabinet (204x554x100mm),Enclosures,210,pc,
DEMO-FINISH-02,Demo Finishes Guide (discs/crowns/sensors),Demo Equipment,520,pc,Dealer demo kit
DEMO-BOX-URS-AL-Tn-AZ,Ursium Alisse Demo Box - Aged Bronze (Turn),Demo Equipment,1200,pc,
DEMO-BOX-URS-AL-Tn-BRB,Ursium Alisse Demo Box - Brushed Brass (Turn),Demo Equipment,1200,pc,
DEMO-BOX-URS-AL-Tn-AB,Ursium Alisse Demo Box - Aged Brass (Turn),Demo Equipment,1200,pc,
DEMO-BOX-URS-AL-Tc-BRB,Ursium Alisse Demo Box - Brushed Brass (Touch),Demo Equipment,1155,pc,
DEMO-BOX-URS-AL-Tc-AB,Ursium Alisse Demo Box - Aged Brass (Touch),Demo Equipment,1155,pc,
DEMO-BOX-URS-PL-Tn-SN,Ursium Aplium Demo Box - Satin Nickel (Turn),Demo Equipment,1080,pc,
DEMO-BOX-URS-PL-Tc-SN,Ursium Aplium Demo Box - Satin Nickel (Touch),Demo Equipment,1035,pc,
DEMO-BOX-URS-EU-Tn-SN,Ursium Euro Demo Box - Satin Nickel (Turn),Demo Equipment,1015,pc,
DEMO-BOX-URS-EU-Tn-SB,Ursium Euro Demo Box - Satin Brass (Turn),Demo Equipment,1015,pc,
DEMO-BOX-URS-EU-Tc-SN,Ursium Euro Demo Box - Satin Nickel (Touch),Demo Equipment,970,pc,
DEMO-BOX-URS-EU-Tc-SB,Ursium Euro Demo Box - Satin Brass (Touch),Demo Equipment,970,pc,
DEMO-BOX-FP1-SN,Zentium Demo Box - Satin Nickel,Demo Equipment,880,pc,
DEMO-BOX-FP1-QB,Zentium Demo Box - Quartz Black,Demo Equipment,880,pc,
DEMO-BOX-UPW-cPL-SN,Zentium Combination Demo Box - Palladiom/Satin Nickel,Demo Equipment,925,pc,Excludes lighting keypad
DEMO-BOX-HOR-cOR-QB,Zentium Combination Demo Box - Horizon/Quartz Black,Demo Equipment,925,pc,Excludes lighting keypad
